Sector: Automobile & Ancillaries,
Date: 05-Jul-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Maruti Suzuki India Ltd.,MARUTI,Automobiles - Passenger Cars,380269.91,2,2024-03,33.1,377475.61,2024-03,141395.3,13194.5,2024-03,28.19,34.12,4.44,2,2023-03,0.02,14.02,17.7,"MARUTI,"
Mahindra & Mahindra Ltd.,M&M,Automobiles - Passenger Cars,356252.36,2,2024-03,105224.96,449464.57,2024-03,138512.01,11148.39,2024-03,31.61,1.84,5.4,2,2024-03,1.6,20.11,14.88,"M&M,"
Tata Motors Ltd.,TATAMOTORS,Automobiles-Trucks/Lcv,331334.22,2,2024-03,98500.09,384027.62,2024-03,437927.77,31106.95,2024-03,10.55,0.1,3.91,2,2024-03,1.16,48.9,21.41,"TATAMOTORS,"
Bajaj Auto Ltd.,BAJAJ-AUTO,Automobile Two & Three Wheelers,265952.22,2,2024-03,1911.74,266908.64,2024-03,44870.43,7435.15,2024-03,34.5,3.15,9.22,2,2024-03,0.07,26.51,33.47,"BAJAJ-AUTO,"
Samvardhana Motherson International Ltd.,MOTHERSON,Auto Ancillary,138848.87,2,2024-03,17351.3,149214.39,2024-03,98691.75,2782,2024-03,51.12,,5.31,2,2023-03,0.54,7.76,9.37,"MOTHERSON,"
Eicher Motors Ltd.,EICHERMOT,Automobile Two & Three Wheelers,129680.96,2,2024-03,275.58,129810.23,2024-03,16535.78,3553.29,2024-03,32.41,3.92,7.19,2,2023-03,0.01,21.19,27.48,"EICHERMOT,"
TVS Motor Company Ltd.,TVSMOTOR,Automobile Two & Three Wheelers,114607.64,2,2024-03,25286.62,137468.53,2024-03,39144.74,1822.01,2024-03,67.96,4.44,16.9,2,2023-03,3.93,26.44,14.11,"TVSMOTOR,"
Cummins India Ltd.,CUMMINSIND,Diesel Engines,114078.89,2,2024-03,100,112666.11,2024-03,9000.2,1475.42,2024-03,66.3,4.86,17.25,2,2023-03,0.06,22.53,27.6,"CUMMINSIND,"
Hero MotoCorp Ltd.,HEROMOTOCO,Automobile Two & Three Wheelers,111026.74,2,2024-03,363.43,110693.7,2024-03,37788.62,3862.41,2024-03,29.65,,6.27,2,2023-03,0.02,17.26,23.93,"HEROMOTOCO,"
Bosch Ltd.,BOSCHLTD,Auto Ancillary,105056.35,2,2024-03,,102463.45,2024-03,16727.1,2490.2,2024-03,42.17,,8.71,2,2023-03,0,13.14,17.47,"BOSCHLTD,"
Tube Investments of India Ltd.,TIINDIA,Cycles,81698.87,2,2024-03,740.14,81211.61,2024-03,16890.33,1184.84,2024-03,68.04,1.53,16.02,2,2023-03,0.16,33.1,38.77,"TIINDIA,"
Bharat Forge Ltd.,BHARATFORG,Forgings,77934.88,2,2024-03,7522.07,83767.03,2024-03,15682.07,904.84,2024-03,81.94,,10.87,2,2023-03,1.01,7.66,8.75,"BHARATFORG,"
Schaeffler India Ltd.,SCHAEFFLER,Bearings,71258.84,2,2023-12,0,69673.18,2023-12,7250.91,899.02,2023-12,79.26,,14.18,2,2023-12,0,19.78,26.81,"SCHAEFFLER,"
Ashok Leyland Ltd.,ASHOKLEY,Automobiles-Trucks/Lcv,67023.95,2,2024-03,40564.34,100508.24,2024-03,45790.64,2679.96,2024-03,26.99,6.21,7.48,2,2024-03,4.53,30.88,15.92,"ASHOKLEY,"
UNO Minda Ltd.,UNOMINDA,Auto Ancillary,66284.96,2,2024-03,1573.11,67603.63,2024-03,14030.89,739.28,2024-03,75.3,3.93,13.41,2,2023-03,0.3,18.55,19.88,"UNOMINDA,"
Balkrishna Industries Ltd.,BALKRISIND,Tyres & Allied,61533.83,2,2024-03,3095.43,64549.26,2024-03,9368.87,1471.49,2024-03,41.82,3.05,6.95,2,2024-03,0.35,17.93,17.98,"BALKRISIND,"
MRF Ltd.,MRF,Tyres & Allied,54685.3,2,2024-03,2075.12,56415.04,2024-03,25169.21,2081.23,2024-03,26.28,,3.27,2,2023-03,0.16,5.35,8.22,"MRF,"
Exide Industries Ltd.,EXIDEIND,Batteries,48246,2,2024-03,696.96,48612.45,2024-03,16769.73,882.27,2024-03,55.03,15.61,3.74,2,2024-03,0.05,7.35,10.81,"EXIDEIND,"
Escorts Kubota Ltd.,ESCORTS,Automobiles-Tractors,46058.99,2,2024-03,4.2,44884.19,2024-03,8849.62,1032.71,2024-03,43.9,2.54,5.03,2,2024-03,0,12.1,16.29,"ESCORTS,"
