Sector: Banking,
Date: 05-Jul-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,TTM Ending (Results),Interest Earned (Rs Cr.),Profit After Tax(Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Return On Equity(%),Net NPA Statement,Net NPA Year Ending,Net NPA (%),Net Interest Margin (%),Yield On Advances (%),Current A/c Savings A/c (%),Symbol with Comma for External Upload
HDFC Bank Ltd.,HDFCBANK,Bank - Private,1257356.33,2,2024-03,283649.02,65446.5,2024-03,19.63,0.98,2.77,2,2023-03,17.24,1,2023-03,0.27,3.76,10.1,44.39,"HDFCBANK,"
ICICI Bank Ltd.,ICICIBANK,Bank - Private,865452.89,2,2024-03,159515.92,45006.74,2024-03,19.56,0.57,3.44,2,2023-03,17.71,1,2023-03,0.51,4.14,10.71,45.84,"ICICIBANK,"
State Bank Of India,SBIN,Bank - Public,757074.83,2,2024-03,439188.51,68138.26,2024-03,11.29,0.12,1.95,2,2024-03,18.97,1,2024-03,0.57,2.81,11.21,39.9,"SBIN,"
Axis Bank Ltd.,AXISBANK,Bank - Private,397394.61,2,2024-03,112759.05,26423.54,2024-03,15.06,0.38,2.55,2,2024-03,18.51,1,2024-03,0.34,3.54,11.33,42.99,"AXISBANK,"
Kotak Mahindra Bank Ltd.,KOTAKBANK,Bank - Private,367572.2,2,2024-03,56236.63,17976.83,2024-03,20.18,1.05,2.83,2,2023-03,14.19,1,2023-03,0.37,4.55,10.71,52.83,"KOTAKBANK,"
Bank Of Baroda,BANKBARODA,Bank - Public,140557.62,2,2024-03,118379.22,18409.64,2024-03,7.49,0.1,1.17,2,2024-03,16.38,1,2024-03,0.68,2.92,10.57,38.76,"BANKBARODA,"
Punjab National Bank,PNB,Bank - Public,135380.44,2,2024-03,109064.58,8328.91,2024-03,14.87,0.62,1.33,2,2024-03,8.48,1,2024-03,0.73,2.7,11.44,40.34,"PNB,"
Indian Overseas Bank,IOB,Bank - Public,119519.95,2,2024-03,24065.68,2665.76,2024-03,44.84,0.71,4.81,2,2024-03,11.35,1,2024-03,0.57,2.97,11.27,43.9,"IOB,"
IndusInd Bank Ltd.,INDUSINDBK,Bank - Private,111933.93,2,2024-03,45748.21,8976.99,2024-03,12.47,0.8,1.78,2,2023-03,14.54,1,2023-03,0.59,4.1,12.54,40.14,"INDUSINDBK,"
Canara Bank,CANBK,Bank - Public,106580.15,2,2024-03,110518.76,14782.36,2024-03,6.98,0.08,1.28,2,2024-03,19.25,1,2024-03,1.27,2.54,11.67,29.9,"CANBK,"
Union Bank Of India,UNIONBANK,Bank - Public,103702.53,2,2024-03,100375.56,13708.94,2024-03,7.52,0.16,1.13,2,2024-03,16.68,1,2024-03,1.03,2.75,11.46,33.58,"UNIONBANK,"
IDBI Bank Ltd.,IDBI,Bank - Private,90728.77,2,2024-03,26445.66,5763.42,2024-03,15.68,0.83,2.1,2,2024-03,14.19,1,2024-03,0.34,4.31,14.01,50.43,"IDBI,"
Yes Bank Ltd.,YESBANK,Bank - Private,77775.11,2,2024-03,27605.86,1285.2,2024-03,60.52,,1.73,2,2023-03,2,1,2023-03,0.83,2.64,11.17,30.76,"YESBANK,"
Indian Bank,INDIANB,Bank - Public,72257.88,2,2024-03,55649.73,8129.15,2024-03,8.58,0.1,1.33,2,2024-03,16.65,1,2024-03,0.43,3.02,10.8,40.77,"INDIANB,"
