Sector: Chemicals,
Date: 05-Jul-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Asian Paints Ltd.,ASIANPAINT,Paints,281601.29,2,2024-03,1107.14,281624.42,2024-03,35494.73,5424.69,2024-03,51.57,2.53,15.07,2,2024-03,0.06,32.08,41.05,"ASIANPAINT,"
Pidilite Industries Ltd.,PIDILITIND,Chemicals,157358.64,2,2024-03,131.15,156956.5,2024-03,12382.99,1751.47,2024-03,90.99,15.8,18.72,2,2023-03,0.02,19.04,25.18,"PIDILITIND,"
Solar Industries India Ltd.,SOLARINDS,Chemicals,110768.88,2,2024-03,1104.97,111586.59,2024-03,6069.52,874.88,2024-03,132.51,5.18,33.51,2,2024-03,0.33,29.59,31.03,"SOLARINDS,"
SRF Ltd.,SRF,Chemicals,71324.26,2,2024-03,4920.24,75836.96,2024-03,13138.52,1335.71,2024-03,53.4,3.38,6.22,2,2024-03,0.43,12.27,12.83,"SRF,"
The Fertilisers And Chemicals Travancore Ltd.,FACT,Fertilizers,66082.23,2,2024-03,1775.59,65178.5,2024-03,5054.93,146.17,2024-03,452.09,9.72,48.03,2,2023-03,1.04,63.33,37.61,"FACT,"
Berger Paints India Ltd.,BERGEPAINT,Paints,60225.02,2,2024-03,205.44,59979.81,2024-03,11198.92,1128.8,2024-03,51.57,3.89,11.2,2,2023-03,0.17,20.46,25.6,"BERGEPAINT,"
PI Industries Ltd.,PIIND,Pesticides & Agrochemicals,57602.82,2,2024-03,127.9,55026.82,2024-03,7665.8,1671,2024-03,34.26,1.25,6.6,2,2023-03,0,18.45,21.84,"PIIND,"
Coromandel International Ltd.,COROMANDEL,Fertilizers,46843.26,2,2024-03,51.79,44036.47,2024-03,22058.39,1667.17,2024-03,28.52,1.2,4.97,2,2023-03,0,28.27,40.51,"COROMANDEL,"
UPL Ltd.,UPL,Pesticides & Agrochemicals,43002.31,2,2024-03,28438,65404.31,2024-03,43098,-1636,2024-03,0,0,1.73,2,2023-03,0.97,18.2,15.7,"UPL,"
Deepak Nitrite Ltd.,DEEPAKNTR,Chemicals,36935.24,2,2024-03,216.95,36686.73,2024-03,7681.83,810.85,2024-03,45.55,0.75,7.7,2,2023-03,0.01,22.94,30.13,"DEEPAKNTR,"
Gujarat Fluorochemicals Ltd.,FLUOROCHEM,Chemicals,36056.07,2,2024-03,1995.78,37853.4,2024-03,4280.82,434.95,2024-03,82.9,,6.07,2,2023-03,0.27,27.07,29.71,"FLUOROCHEM,"
Godrej Industries Ltd.,GODREJIND,Chemicals,29967.16,2,2024-03,28807.47,55264.97,2024-03,16600.62,648.43,2024-03,499.7,20.39,3.75,2,2023-03,2.44,18.83,10.72,"GODREJIND,"
Bayer CropScience Ltd.,BAYERCROP,Pesticides & Agrochemicals,29523.58,1,2024-03,,28359.58,2024-03,5103.2,740.5,2024-03,39.87,2.36,10.37,1,2023-03,0,28.96,38.67,"BAYERCROP,"
Tata Chemicals Ltd.,TATACHEM,Chemicals,28111.08,2,2024-03,5064,32530.08,2024-03,15421,381,2024-03,104.89,133.21,1.26,2,2024-03,0.23,2.14,5.12,"TATACHEM,"
Aarti Industries Ltd.,AARTIIND,Chemicals,26335.92,2,2024-03,3184,29389.92,2024-03,6373,417,2024-03,63.31,6.11,4.98,2,2023-03,0.58,11.56,10.48,"AARTIIND,"
Sumitomo Chemical India Ltd.,SUMICHEM,Pesticides & Agrochemicals,24458.14,2,2024-03,0.51,24275.32,2024-03,2843.95,369.74,2024-03,66.19,4.03,10.02,2,2024-03,0,15.33,21.09,"SUMICHEM,"
BASF India Ltd.,BASF,Pesticides & Agrochemicals,23603.66,2,2024-03,,22979.37,2024-03,13767.48,563.27,2024-03,41.9,1.21,,1,2023-03,0,16.03,22.13,"BASF,"
Kansai Nerolac Paints Ltd.,KANSAINER,Paints,21838.37,2,2024-03,120.7,21699.12,2024-03,7801.44,1175.86,2024-03,18.42,6.2,3.92,2,2024-03,0.02,23.29,30.59,"KANSAINER,"
Chambal Fertilisers and Chemicals Ltd.,CHAMBLFERT,Fertilizers,20805.87,2,2024-03,1853.55,22526.53,2024-03,17966.41,1195.31,2024-03,16.31,1.04,2.86,2,2023-03,0.47,15.36,16.44,"CHAMBLFERT,"
Vinati Organics Ltd.,VINATIORGA,Chemicals,20033.9,2,2024-03,4.65,20025.75,2024-03,1877.47,348.48,2024-03,62.03,,8.14,2,2023-03,0,22.64,30.36,"VINATIORGA,"
Himadri Speciality Chemical Ltd.,HSCL,Chemicals,19987.36,2,2024-03,600.42,19856.37,2024-03,4184.89,410.68,2024-03,48.66,10.05,6.51,2,2024-03,0.2,15.74,18.86,"HSCL,"
Atul Ltd.,ATUL,Chemicals,19934.13,2,2024-03,231.85,20093.68,2024-03,4725.68,314.42,2024-03,61.71,,3.9,2,2024-03,0.05,6.62,9.17,"ATUL,"
Navin Fluorine International Ltd.,NAVINFLUOR,Chemicals,18427.42,2,2024-03,1339.94,19739.82,2024-03,2066.71,270.51,2024-03,68.12,4.3,7.73,2,2023-03,0.39,18.71,21.01,"NAVINFLUOR,"
Fine Organic Industries Ltd.,FINEORG,Chemicals,16436.2,2,2024-03,,15387.69,2024-03,2122.95,414.53,2024-03,39.9,0.88,8.56,2,2023-03,0.02,49.44,65.39,"FINEORG,"
Clean Science And Technology Ltd.,CLEAN,Chemicals,15896.17,2,2024-03,,15885.54,2024-03,791.48,244.03,2024-03,65.14,1.51,13.21,2,2023-03,0,33.23,44.55,"CLEAN,"
Supreme Petrochem Ltd.,SPLPETRO,Chemicals,15842.48,1,2024-03,0,15322.11,2024-03,5253.34,346.49,2024-03,45.72,0.96,7.82,1,2024-03,0,17.94,24.76,"SPLPETRO,"
Akzo Nobel India Ltd.,AKZOINDIA,Paints,13130.18,2,2024-03,,12606.28,2024-03,3961.6,426.6,2024-03,30.78,,9.89,2,2023-03,0,26.06,36.55,"AKZOINDIA,"
Aether Industries Ltd.,AETHER,Chemicals,12167.45,2,2024-03,168.62,11780.42,2024-03,598.17,82.49,2024-03,147.5,,5.9,2,2023-03,0,16.01,18.74,"AETHER,"
Rashtriya Chemicals and Fertilizers Ltd.,RCF,Fertilizers,11350.98,2,2024-03,3283.25,14281.29,2024-03,16981.31,227.74,2024-03,50.39,0.82,2.46,2,2023-03,0.41,22.81,22.66,"RCF,"
Alkyl Amines Chemicals Ltd.,ALKYLAMINE,Chemicals,10930.03,1,2024-03,0.64,10899.29,2024-03,1440.61,148.89,2024-03,73.42,6.02,8.6,1,2024-03,0,12.26,16.4,"ALKYLAMINE,"
