Sector: Construction Materials,
Date: 05-Jul-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Ultratech Cement Ltd.,ULTRACEMCO,Cement & Construction Materials,337348.59,2,2024-03,10298.39,346863.77,2024-03,70908.14,6981.95,2024-03,48.16,3.31,5.6,2,2023-03,0.18,9.7,13.2,"ULTRACEMCO,"
Grasim Industries Ltd.,GRASIM,Cement & Construction Materials,186960.73,2,2024-03,135102.21,317414.18,2024-03,130978.48,9836.96,2024-03,33.24,1.92,2.11,2,2023-03,1.29,14.41,12.63,"GRASIM,"
Ambuja Cements Ltd.,AMBUJACEM,Cement & Construction Materials,169216.58,2,2024-03,36.78,158184.49,2024-03,33159.64,4715.13,2024-03,47.31,6.19,3.4,2,2024-03,0,14.5,16.87,"AMBUJACEM,"
Shree Cement Ltd.,SHREECEM,Cement & Construction Materials,99207.08,2,2024-03,1474.92,100260.19,2024-03,20520.98,2396.16,2024-03,41.41,,4.79,2,2023-03,0.14,7.03,8.65,"SHREECEM,"
ACC Ltd.,ACC,Cement & Construction Materials,50869.69,2,2024-03,0,49006.82,2024-03,19958.92,2323.6,2024-03,21.77,3.23,3.12,2,2024-03,0,15.34,19.13,"ACC,"
Dalmia Bharat Ltd.,DALBHARAT,Cement & Construction Materials,34849.16,2,2024-03,4630,38897.16,2024-03,14680,854,2024-03,42.19,1.93,2.13,2,2024-03,0.28,5.34,7.21,"DALBHARAT,"
JK Cement Ltd.,JKCEMENT,Cement & Construction Materials,32954.91,2,2024-03,5238.54,37326.92,2024-03,11556,795.44,2024-03,41.67,1.73,6.14,2,2024-03,0.98,15.72,16.04,"JKCEMENT,"
Kajaria Ceramics Ltd.,KAJARIACER,Ceramics/Marble/Granite/Sanitaryware,23617.21,2,2024-03,170.59,23273.69,2024-03,4578.42,433.36,2024-03,55.95,6.57,9.03,2,2023-03,0.09,15.6,20.26,"KAJARIACER,"
The Ramco Cements Ltd.,RAMCOCEM,Cement & Construction Materials,19195.21,2,2024-03,4916.82,23975.12,2024-03,9376.35,393.53,2024-03,53.33,,2.65,2,2023-03,0.65,5.07,6.51,"RAMCOCEM,"
Asahi India Glass Ltd.,ASAHIINDIA,Glass,16758.62,2,2024-03,1878.54,18637.16,2024-03,4356.72,316.97,2024-03,51.1,3.43,7.12,2,2023-03,0.65,18.85,20.89,"ASAHIINDIA,"
Century Plyboards (India) Ltd.,CENTURYPLY,Wood & Wood Products,16501.9,2,2024-03,718.36,17153.12,2024-03,3885.95,325.32,2024-03,50.56,2.71,7.46,2,2023-03,0.16,22.13,26.38,"CENTURYPLY,"
Nuvoco Vistas Corporation Ltd.,NUVOCO,Cement & Construction Materials,12687.97,2,2024-03,4137.03,16718.02,2024-03,10732.89,147.37,2024-03,86.1,1.65,1.41,2,2024-03,0.46,1.65,5.56,"NUVOCO,"
Birla Corporation Ltd.,BIRLACORPN,Cement & Construction Materials,12338.57,2,2024-03,3769.73,15949.09,2024-03,9662.72,420.56,2024-03,29.34,,1.85,2,2023-03,0.86,0.8,4.08,"BIRLACORPN,"
Cera Sanitaryware Ltd.,CERA,Ceramics/Marble/Granite/Sanitaryware,11938.03,2,2024-03,20.46,11921.29,2024-03,1880.33,241.31,2024-03,49.95,3.15,8.87,2,2024-03,0.02,19.16,25.32,"CERA,"
JK Lakshmi Cement Ltd.,JKLAKSHMI,Cement & Construction Materials,10263.77,2,2024-03,2024.89,12021.41,2024-03,6788.47,488.15,2024-03,21.75,0.46,3.22,2,2023-03,0.66,13.92,14.83,"JKLAKSHMI,"
The India Cements Ltd.,INDIACEM,Cement & Construction Materials,8855.31,2,2024-03,2611.91,11467.22,2024-03,5112.24,-215.76,2024-03,0,,1.59,2,2023-03,0.55,-3.13,-1.61,"INDIACEM,"
Star Cement Ltd.,STARCEMENT,Cement & Construction Materials,8491.83,2,2024-03,129.83,8524.32,2024-03,2910.67,295.11,2024-03,28.78,,3.13,2,2023-03,0.01,10.8,16.87,"STARCEMENT,"
Prism Johnson Ltd.,PRSMJOHNSN,Cement & Construction Materials,8373.34,2,2024-03,1333.24,9200.56,2024-03,7587.51,147.3,2024-03,46.23,,6.03,2,2023-03,1.22,-12.47,0.68,"PRSMJOHNSN,"
Greenlam Industries Ltd.,GREENLAM,Laminates/Decoratives,7668.46,2,2024-03,998.79,8634.33,2024-03,2306.35,137.66,2024-03,55.41,3.76,7.12,2,2023-03,0.59,15.78,14.78,"GREENLAM,"
Borosil Renewables Ltd.,BORORENEW,Glass,6735.75,2,2024-03,571.01,7141.18,2024-03,1369.28,-51.19,2024-03,0,0,7.72,2,2023-03,0.45,8.01,9.47,"BORORENEW,"
