Sector: Consumer Durables,
Date: 05-Jul-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Dixon Technologies (India) Ltd.,DIXON,Consumer Durables - Electronics,74979.36,2,2024-03,155.03,74925.74,2024-03,17690.9,364.68,2024-03,203.89,6.14,44.24,2,2023-03,0.14,22.63,27.98,"DIXON,"
Honeywell Automation India Ltd.,HONAUT,Consumer Durables - Electronics,51094.19,1,2024-03,,48271.19,2024-03,4058.22,501.44,2024-03,101.9,8.57,14.11,1,2023-03,0.01,14.59,19.72,"HONAUT,"
Voltas Ltd.,VOLTAS,Air Conditioners,48029.57,2,2024-03,713.31,47890.56,2024-03,12481.21,386.72,2024-03,190.59,,8.25,2,2024-03,0.12,4.4,8.6,"VOLTAS,"
Blue Star Ltd.,BLUESTARCO,Air Conditioners,35262.94,2,2024-03,166.62,35052.19,2024-03,9685.36,413.82,2024-03,84.98,8.01,13.51,2,2023-03,0.43,34.13,35.85,"BLUESTARCO,"
Crompton Greaves Consumer Electricals Ltd.,CROMPTON,Consumer Durables - Domestic Appliances,26459.58,2,2024-03,598.97,26797.78,2024-03,7312.81,441.78,2024-03,60.15,32.51,9.05,2,2024-03,0.2,16.23,18.17,"CROMPTON,"
Whirlpool Of India Ltd.,WHIRLPOOL,Consumer Durables - Domestic Appliances,25163.76,2,2024-03,,22928.79,2024-03,6829.79,224.3,2024-03,115.94,,6.82,2,2023-03,0,6.64,9.08,"WHIRLPOOL,"
Amber Enterprises India Ltd.,AMBER,Air Conditioners,15157.12,2,2024-03,1433.22,15899.06,2024-03,6729.27,141.81,2024-03,114.07,5.61,7.34,2,2023-03,0.78,9.14,10.75,"AMBER,"
Netweb Technologies India Ltd.,NETWEB,IT - Hardware,14829.58,1,2024-03,1.63,14609.59,2024-03,724.08,75.9,2024-03,195.38,,35.51,1,2023-03,0.33,69.17,66.37,"NETWEB,"
Bajaj Electricals Ltd.,BAJAJELEC,Consumer Durables - Domestic Appliances,12740.49,2,2024-03,,12465.81,2024-03,4641.27,135.88,2024-03,97.2,16.51,8.89,2,2023-03,0,11.98,19.1,"BAJAJELEC,"
TTK Prestige Ltd.,TTKPRESTIG,Consumer Durables - Domestic Appliances,12311,2,2024-03,46.86,11693.21,2024-03,2678.05,225.33,2024-03,53.88,3.97,5.9,2,2023-03,0.02,13.92,18.87,"TTKPRESTIG,"
PG Electroplast Ltd.,PGEL,Consumer Durables - Domestic Appliances,9742.33,2,2024-03,360.56,9920.47,2024-03,2746.5,137.01,2024-03,72.22,2.12,9.38,2,2023-03,1.39,22.1,17.8,"PGEL,"
Eureka Forbes Ltd.,543482,Consumer Durables - Domestic Appliances,9655.58,2,2024-03,24.92,9582.95,2024-03,2189.25,95.65,2024-03,100.96,,2.28,2,2023-03,0.03,0.65,1.38,"543482,"
Symphony Ltd.,SYMPHONY,Consumer Durables - Domestic Appliances,7942.81,2,2024-03,147,8046.81,2024-03,1156,148,2024-03,53.67,,10.61,2,2023-03,0.22,13.47,15.3,"SYMPHONY,"
IFB Industries Ltd.,IFBIND,Consumer Durables - Domestic Appliances,6985.44,2,2024-03,69.42,6944.28,2024-03,4437.84,74.52,2024-03,138.71,,9.74,2,2023-03,0.31,2.27,7.44,"IFBIND,"
Orient Electric Ltd.,ORIENTELEC,Consumer Durables - Domestic Appliances,5807.82,1,2024-03,20.87,5762.36,2024-03,2812.12,75.27,2024-03,77.16,22.39,9.07,1,2023-03,0.02,13.64,21.57,"ORIENTELEC,"
Johnson Controls - Hitachi Air Conditioning India Ltd.,JCHAC,Air Conditioners,5429.88,1,2024-03,,5357.95,2024-03,1918.7,-75.72,2024-03,0,,9.28,1,2023-03,0.22,-11.74,-12.32,"JCHAC,"
Borosil Ltd.,BOROLTD,Consumer Durables - Domestic Appliances,4607.93,2,2024-03,153.88,4754.93,2024-03,1093.94,72.31,2024-03,69.96,,6.31,2,2023-03,0.11,11.13,14.03,"BOROLTD,"
Hawkins Cookers Ltd.,508486,Consumer Durables - Domestic Appliances,4146.57,1,2024-03,31.36,3989.58,2024-03,1024.14,109.84,2024-03,37.75,2.65,12.42,1,2023-03,0.15,38.74,45.83,"508486,"
