Sector: Diamond & Jewellery,
Date: 05-Jul-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Titan Company Ltd.,TITAN,Diamond  &  Jewellery,290101.88,2,2024-03,13179,301754.88,2024-03,51084,3495,2024-03,82.98,4.15,31.04,2,2024-03,1.41,33,25.01,"TITAN,"
Kalyan Jewellers India Ltd.,KALYANKJIL,Diamond  &  Jewellery,50129.04,2,2024-03,1064.35,50218.28,2024-03,18548.29,596.29,2024-03,83.92,3.4,11.97,2,2023-03,0.97,12.76,13.56,"KALYANKJIL,"
Senco Gold Ltd.,SENCO,Diamond  &  Jewellery,8594.08,2,2024-03,1498.34,9541.06,2024-03,5241.44,181.11,2024-03,47.48,,6.29,2,2023-03,1.25,19.28,16.94,"SENCO,"
Rajesh Exports Ltd.,RAJESHEXPO,Diamond  &  Jewellery,8497.58,2,2024-03,654.97,6879.36,2024-03,280676.35,335.53,2024-03,25.33,10.11,0.56,2,2023-03,0.05,10.54,10.86,"RAJESHEXPO,"
Thangamayil Jewellery Ltd.,THANGAMAYL,Diamond  &  Jewellery,4833.82,1,2024-03,467.54,5219.57,2024-03,3832.19,123.24,2024-03,39.22,1.21,9.75,1,2024-03,0.95,27.95,21.42,"THANGAMAYL,"
D.P. Abhushan Ltd.,DPABHUSHAN,Diamond  &  Jewellery,3061.04,1,2024-03,160.41,3221.45,2024-03,2339.96,61.86,2024-03,49.48,1.21,12.84,1,2023-03,0.64,28.4,24.85,"DPABHUSHAN,"
Sky Gold Ltd.,SKYGOLD,Diamond  &  Jewellery,2444.25,2,2024-03,298.75,2666.24,2024-03,1745.48,40.48,2024-03,60.38,,10.01,2,2023-03,1.49,21.28,17.54,"SKYGOLD,"
PC Jeweller Ltd.,PCJEWELLER,Diamond  &  Jewellery,2392.18,2,2024-03,4087.24,6474.53,2024-03,605.4,-629.37,2024-03,0,,0.82,2,2023-03,0.99,-5.39,5.4,"PCJEWELLER,"
Goldiam International Ltd.,GOLDIAM,Diamond  &  Jewellery,1882.8,2,2024-03,,1738,2024-03,602.87,90.9,2024-03,20.71,0.8,2.99,2,2023-03,0,15.41,21.27,"GOLDIAM,"
Motisons Jewellers Ltd.,MOTISONS,Diamond  &  Jewellery,1538.22,1,2024-03,108.85,1614.35,2024-03,416.76,32.23,2024-03,47.72,0.96,4.7,1,2023-03,1.2,17.56,16.68,"MOTISONS,"
Asian Star Company Ltd.,531847,Diamond  &  Jewellery,1280.38,2,2024-03,741.41,1706.27,2024-03,3523.3,77.58,2024-03,16.58,,0.85,2,2023-03,0.44,6.03,6.27,"531847,"
Renaissance Global Ltd.,RGL,Diamond  &  Jewellery,1008.42,2,2024-03,510.36,1442.03,2024-03,2107.11,73.6,2024-03,13.93,2.09,0.88,2,2023-03,0.45,9.07,9.81,"RGL,"
Tribhovandas Bhimji Zaveri Ltd.,TBZ,Diamond  &  Jewellery,862.83,2,2024-03,533.04,1346.1,2024-03,2298.94,54.43,2024-03,15.85,1.17,1.43,2,2023-03,0.87,7.39,10.04,"TBZ,"
Radhika Jeweltech Ltd.,RADHIKAJWE,Diamond  &  Jewellery,725.7,1,2024-03,50.86,776.56,2024-03,544.06,49.53,2024-03,14.65,0.72,2.73,1,2023-03,0.16,14.72,17.87,"RADHIKAJWE,"
Laxmi Goldorna House Ltd.,LGHL,Diamond  &  Jewellery,705.47,1,2024-03,52.78,758.25,2024-03,201.93,9.48,2024-03,74.42,,16.44,1,2023-03,1,1.25,4.37,"LGHL,"
Starlineps Enterprises Ltd.,540492,Diamond  &  Jewellery,578.2,1,2024-03,,578.2,2024-03,29.76,1.79,2024-03,322.84,20.96,21.87,1,2023-03,0,2.53,3.4,"540492,"
RBZ Jewellers Ltd.,RBZJEWEL,Diamond  &  Jewellery,536.4,1,2024-03,69.19,591.12,2024-03,327.43,21.57,2024-03,24.87,,2.59,1,2023-03,1.04,27.49,23.96,"RBZJEWEL,"
Royal India Corporation Ltd.,512047,Diamond  &  Jewellery,308.96,1,2024-03,132.29,441.25,2024-03,28.84,-8.22,2024-03,0,0,9.63,1,2023-03,-10.1,0,3.27,"512047,"
Uday Jewellery Industries Ltd.,539518,Diamond  &  Jewellery,296.63,1,2024-03,23.59,320.23,2024-03,173.18,8.71,2024-03,34.05,1.07,3.84,1,2023-03,0.49,15.21,15.63,"539518,"
Ashapuri Gold Ornament Ltd.,542579,Diamond  &  Jewellery,262.99,1,2024-03,1.82,264.81,2024-03,165.07,7.43,2024-03,35.41,0.4,1.9,1,2023-03,0.08,2.19,3.14,"542579,"
Goldkart Jewels Ltd.,GOLDKART,Diamond  &  Jewellery,181.95,1,2024-03,14.45,196.41,2024-03,68.21,0.97,2024-03,186.81,,7.95,1,2023-03,0.61,6.82,9.48,"GOLDKART,"
Golkunda Diamonds & Jewellery Ltd.,523676,Diamond  &  Jewellery,123.96,1,2024-03,39.22,152.53,2024-03,230.47,9.62,2024-03,12.89,0.27,2.28,1,2024-03,0.73,19.33,17.78,"523676,"
Narbada Gems And Jewellery Ltd.,519455,Diamond  &  Jewellery,122.71,1,2024-03,24.5,147.21,2024-03,84.32,5.09,2024-03,24.13,0.94,2.47,1,2023-03,0.66,8.93,9.72,"519455,"
Dev Labtech Venture Ltd.,543848,Diamond  &  Jewellery,97.68,1,2024-03,1.1,98.79,2024-03,43.22,1.34,2024-03,72.79,,4.18,1,2023-03,0.06,9.75,13.02,"543848,"
Patdiam Jewellery Ltd.,539401,Diamond  &  Jewellery,94.54,1,2024-03,9.64,104.19,2024-03,103.4,6.17,2024-03,15.31,0.29,1.76,1,2023-03,0.18,16.64,22.45,"539401,"
Atlas Jewellery India Ltd.,514394,Diamond  &  Jewellery,93.31,1,2021-09,0,93.06,2021-12,1.89,1.53,2021-12,61.14,,0.57,1,2021-03,0,-3.05,-2.93,"514394,"
Minal Industries Ltd.,522235,Diamond  &  Jewellery,86.16,1,2023-09,,86.16,2023-12,2.26,0.05,2023-12,0,0,2.03,2,2023-03,0.2,-0.59,2.2,"522235,"
Moksh Ornaments Ltd.,MOKSH,Diamond  &  Jewellery,83.12,1,2024-03,49.4,123.86,2024-03,449.2,6.25,2024-03,13.3,1.42,1.43,1,2023-03,0.54,12.8,16.8,"MOKSH,"
Kenvi Jewels Ltd.,540953,Diamond  &  Jewellery,72.04,1,2024-03,8.36,80.39,2024-03,121.41,0.66,2024-03,108.98,2.45,5.01,1,2023-03,0.07,4.01,7.34,"540953,"
Kanani Industries Ltd.,KANANIIND,Diamond  &  Jewellery,61.73,2,2024-03,5.95,67.68,2024-03,222.81,0.62,2024-03,100.06,4.57,0.98,2,2023-03,0.5,3.58,3.74,"KANANIIND,"
Swarnsarita Jewels India Ltd.,526365,Diamond  &  Jewellery,60.23,2,2024-03,107.69,148,2024-03,769.69,4.79,2024-03,12.57,1.63,0.49,2,2023-03,1.03,5.49,6.82,"526365,"
Eighty Jewellers Ltd.,543518,Diamond  &  Jewellery,46.41,1,2024-03,6.77,53.17,2024-03,80.98,1.46,2024-03,31.85,,1.95,1,2023-03,0.41,8.08,11.94,"543518,"
Gautam Gems Ltd.,540936,Diamond  &  Jewellery,40.07,1,2024-03,4.29,44.35,2024-03,101.34,0.43,2024-03,104.89,3.02,0.73,1,2023-03,0.26,1.84,3.16,"540936,"
Varyaa Creations Ltd.,544168,Diamond  &  Jewellery,38.32,1,2024-03,,38.32,2024-03,21.4,3.02,2024-03,12.7,,1.55,1,2023-03,0,394.85,266.47,"544168,"
Goenka Diamond and Jewels Ltd.,GOENKA,Diamond  &  Jewellery,36.77,1,2024-03,177.3,214.08,2024-03,0.63,-2.16,2024-03,0,0,0.15,2,2023-03,0.74,-0.96,-0.41,"GOENKA,"
