Sector: Diversified,
Date: 05-Jul-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
3M India Ltd.,3MINDIA,Diversified,43975.9,2,2024-03,,42618.06,2024-03,4189.36,583.42,2024-03,75.38,12.09,20.48,2,2023-03,0,23.36,31.84,"3MINDIA,"
DCM Shriram Ltd.,DCMSHRIRAM,Diversified,15758.75,2,2024-03,2082.63,17168.94,2024-03,11431.29,447.1,2024-03,35.25,,2.42,2,2024-03,0.32,7.03,9.57,"DCMSHRIRAM,"
Surya Roshni Ltd.,SURYAROSNI,Diversified,7270.67,2,2024-03,3.73,7228.83,2024-03,7809.27,329.16,2024-03,22.09,0.61,3.36,2,2023-03,0.22,19.8,22.94,"SURYAROSNI,"
Balmer Lawrie & Company Ltd.,BALMLAWRIE,Diversified,4947.14,2,2024-03,76.95,4499.3,2024-03,2339.23,199.31,2024-03,18.91,125.35,2.72,2,2023-03,0.05,6.54,10.56,"BALMLAWRIE,"
Gillanders Arbuthnot & Company Ltd.,GILLANDERS,Diversified,200.62,2,2024-03,129.2,326.97,2024-03,363.28,-48.62,2024-03,0,,0.92,2,2024-03,0.59,-19.68,-8.27,"GILLANDERS,"
TCI Industries Ltd.,532262,Diversified,132.72,1,2024-03,0.74,132.87,2024-03,1.39,-1.04,2024-03,0,,58.74,1,2024-03,0.07,-55.35,-9.02,"532262,"
Binani Industries Ltd.,BINANIIND,Diversified,49.87,2,2024-03,172.03,221.9,2024-03,0,-7.14,2024-03,0,,-0.26,2,2023-03,-0.93,0,0,"BINANIIND,"
BNR Udyog Ltd.,530809,Diversified,22.2,1,2024-03,0,19.19,2024-03,3.03,5.08,2024-03,5.15,0.08,2.21,1,2024-03,0,53.79,63.48,"530809,"
Finelistings Technologies Ltd.,544173,Diversified,20.91,1,2024-03,1.1,22.01,2024-03,13.59,1.74,2024-03,12.04,,0.97,1,2023-03,0.36,89.51,79.96,"544173,"
Vishvprabha Ventures Ltd.,512064,Diversified,15.95,2,2024-03,17.1,32.97,2024-03,5.95,-0.27,2024-03,0,,4.14,2,2023-03,1.64,-1.71,-0.63,"512064,"
Niraj Ispat Industries Ltd.,NIRAJISPAT,Diversified,11.48,1,2024-03,1.44,12.93,2024-03,3.26,0.81,2023-12,11.98,1.02,0.9,1,2023-03,0.11,14.73,17.63,"NIRAJISPAT,"
