Sector: Electricals,
Date: 05-Jul-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Polycab India Ltd.,POLYCAB,Cable,100213.57,2,2024-03,89.77,99900.99,2024-03,18039.44,1802.57,2024-03,56.17,1.94,12.35,2,2024-03,0.01,24.49,32.93,"POLYCAB,"
KEI Industries Ltd.,KEI,Cable,42739.25,2,2024-03,134.23,42173.11,2024-03,8110.15,580.85,2024-03,73.59,2.73,13.58,2,2023-03,0.05,20.27,26.07,"KEI,"
Kaynes Technology India Ltd.,KAYNES,Electronics - Components,27928.36,2,2024-03,306.07,26708.87,2024-03,1804.62,183.41,2024-03,152.37,3.51,11.23,2,2023-03,0.14,16.4,22.16,"KAYNES,"
Finolex Cables Ltd.,FINCABLES,Cable,25674.69,2,2024-03,0.88,25577.58,2024-03,5014.39,505.57,2024-03,39.4,4.45,5.19,2,2023-03,0,12.16,15.69,"FINCABLES,"
RR Kabel Ltd.,RRKABEL,Cable,20363.79,2,2024-03,288.96,20553.96,2024-03,6594.57,297.02,2024-03,68.31,7.33,11.14,2,2023-03,0.36,20.67,16.13,"RRKABEL,"
Syrma SGS Technology Ltd.,SYRMA,Electronics - Components,8984.92,2,2024-03,576.31,9475.66,2024-03,3153.84,124.34,2024-03,83.71,,5.57,2,2023-03,0.23,11.71,15.41,"SYRMA,"
Sterlite Technologies Ltd.,STLTECH,Cable,6875.97,2,2024-03,3225,9697.97,2024-03,5478,-68,2024-03,0,,2.27,2,2023-03,1.77,11.56,11.36,"STLTECH,"
Diamond Power Infrastructure Ltd.,522163,Cable,6661.18,1,2024-03,315.7,6967.04,2024-03,343.37,17.03,2024-03,391.28,46.33,-6.92,1,2023-03,-0.38,0,-11.42,"522163,"
Insolation Energy Ltd.,543620,Electronics - Components,6520.73,1,2024-03,34.31,6555.04,2024-03,229.29,2.87,2024-03,0,,137.18,2,2023-03,1.31,29.2,19.86,"543620,"
DCX Systems Ltd.,DCXINDIA,Electronics - Components,4864.8,2,2024-03,290.6,4314.57,2024-03,1423.58,75.78,2024-03,64.19,,4.32,2,2023-03,0.9,20.95,13.13,"DCXINDIA,"
Avalon Technologies Ltd.,AVALON,Electronics - Components,3556.17,2,2024-03,164.15,3613.77,2024-03,867.17,27.99,2024-03,127.07,,6.5,2,2023-03,1.41,34.37,17.53,"AVALON,"
Apollo Micro Systems Ltd.,APOLLO,Electronics - Components,3316.22,2,2024-03,198.2,3486.87,2024-03,371.63,31.11,2024-03,106.56,,6.03,2,2023-03,0.42,5.71,10.68,"APOLLO,"
Precision Wires India Ltd.,PRECWIRE,Cable,2954.08,1,2024-03,98.61,2976.38,2024-03,3321,72.85,2024-03,40.55,3.83,5.83,1,2023-03,0.04,14.6,26.75,"PRECWIRE,"
Universal Cables Ltd.,UNIVCABLES,Cable,2689.41,2,2024-03,768.5,3452.89,2024-03,2020.67,34.17,2024-03,24.85,3.36,1.52,2,2023-03,0.44,8.47,12.02,"UNIVCABLES,"
Paramount Communications Ltd.,PARACABLES,Cable,2518.51,2,2024-03,100.78,2596.65,2024-03,1070.6,85.54,2024-03,29.41,0.69,4.02,2,2023-03,0.63,21.15,13.25,"PARACABLES,"
Websol Energy System Ltd.,WEBELSOLAR,Electronics - Components,2414.63,1,2024-03,183.53,2598.16,2024-03,25.86,-120.96,2024-03,0,,22.46,1,2023-03,0.14,-12.37,-12.39,"WEBELSOLAR,"
IKIO Lighting Ltd.,IKIO,Electronics - Components,2389.91,2,2024-03,45.18,2244.07,2024-03,437.95,60.57,2024-03,39.46,,4.32,2,2023-03,0.81,39.87,31.74,"IKIO,"
Centum Electronics Ltd.,CENTUM,Electronics - Components,2177.17,2,2024-03,173.69,2279.29,2024-03,1087.57,-2.76,2024-03,0,0,10.71,2,2023-03,1.26,3.24,8.31,"CENTUM,"
Swelect Energy Systems Ltd.,SWELECTES,Electronics - Components,1913.79,2,2024-03,567.34,2246.5,2024-03,307.93,60.06,2024-03,30.86,,2.29,2,2023-03,0.7,3.82,4.91,"SWELECTES,"
Vinyas Innovative Technologies Ltd.,VINYAS,Electronics - Components,1575.73,1,2024-03,96.7,1659.2,2024-03,317.2,15.35,2024-03,102.68,,12.82,1,2023-03,2.22,20.99,17.73,"VINYAS,"
Dynamic Cables Ltd.,DYCL,Cable,1479.44,1,2024-03,119.16,1568.67,2024-03,768,37.77,2024-03,39.17,1.18,4.74,1,2023-03,0.46,19.08,23.97,"DYCL,"
ICE Make Refrigeration Ltd.,ICEMAKE,Electronics - Components,1364.08,2,2024-03,25.29,1380.74,2024-03,378.38,26.14,2024-03,51.96,2.02,13.09,2,2023-03,0.04,29.18,37.94,"ICEMAKE,"
Aimtron Electronics Ltd.,AIMTRON,Electronics - Components,1353.95,1,2024-03,14.59,1368.53,2024-03,92.98,13.6,2024-03,99.55,,9.86,1,2023-03,0.65,33.44,32.81,"AIMTRON,"
RIR Power Electronics Ltd.,517035,Electronics - Components,1349.7,2,2024-03,33.92,1354.79,2024-03,66.76,6.83,2024-03,192.02,,21.48,2,2023-03,0.97,20.19,14.97,"517035,"
Australian Premium Solar (India) Ltd.,APS,Electronics - Components,1277.67,1,2024-03,9.52,1287.19,2024-03,149.67,6.15,2024-03,207.65,,22.39,1,2023-03,0.15,26.05,32,"APS,"
SPEL Semiconductor Ltd.,517166,Electronics - Components,1143.25,1,2024-03,27.9,1171.15,2024-03,12,-16.79,2024-03,0,0,34.94,1,2023-03,0.51,-5.65,-2.36,"517166,"
Modern Insulators Ltd.,515008,Electronics - Components,775.75,2,2024-03,19.14,786.49,2024-03,443.3,36.04,2024-03,21.52,1.97,1.83,2,2023-03,0.02,7.46,7.62,"515008,"
Birla Cable Ltd.,BIRLACABLE,Cable,753.3,2,2024-03,165.3,915.05,2024-03,685.5,22.15,2024-03,34.02,,3,2,2023-03,0.56,14.36,15.91,"BIRLACABLE,"
Kernex Microsystems (India) Ltd.,KERNEX,Electronics - Components,705.74,1,2023-09,17.21,705.51,2023-12,10.79,-16.05,2023-12,0,,5.35,2,2023-03,0.13,-32.07,-21.64,"KERNEX,"
BPL Ltd.,BPL,Electronics - Components,658.48,2,2024-03,30.09,679.27,2024-03,66.54,14.1,2024-03,49.11,,2.64,2,2023-03,0.1,2.52,6.16,"BPL,"
Delton Cables Ltd.,504240,Cable,456.45,1,2024-03,113.13,561.1,2024-03,400.86,14.66,2024-03,31.14,2.03,6.4,1,2023-03,1.44,1.02,13.86,"504240,"
V-Marc India Ltd.,VMARCIND,Cable,440.45,1,2024-03,140.5,580.95,2024-03,564.73,26.85,2024-03,16.4,0.49,5.53,1,2023-03,0.95,14.02,18.46,"VMARCIND,"
Plaza Wires Ltd.,PLAZACABLE,Cable,388.96,1,2024-03,41.31,396.64,2024-03,198.8,3.68,2024-03,105.78,,3.24,1,2023-03,0.75,15.23,16.31,"PLAZACABLE,"
