Sector: Ferro Manganese,
Date: 05-Jul-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Indian Metals & Ferro Alloys Ltd.,IMFA,Ferro & Silica Manganese,3964.82,2,2024-03,168.23,4036.26,2024-03,2780.17,372.38,2024-03,10.05,1.9,1.87,2,2023-03,0.17,12.58,17.77,"IMFA,"
Maithan Alloys Ltd.,MAITHANALL,Ferro & Silica Manganese,3633.27,2,2024-03,26.9,3582.59,2024-03,1728.64,348.96,2024-03,10.41,0.67,1.16,2,2023-03,0.01,19.46,24.94,"MAITHANALL,"
Owais Metal & Mineral Processing Ltd.,OWAIS,Ferro & Silica Manganese,2402.8,1,2023-03,3.21,2405.92,2024-03,80.05,15.46,2024-03,155.37,,34.94,1,2023-03,5.61,-22.21,0,"OWAIS,"
Shyam Century Ferrous Ltd.,SHYAMCENT,Ferro & Silica Manganese,370.45,1,2024-03,1.52,289.59,2024-03,138.09,0.72,2024-03,509.57,24.77,2.3,1,2023-03,0.01,15.88,21.9,"SHYAMCENT,"
Nagpur Power & Industries Ltd.,532362,Ferro & Silica Manganese,214.9,1,2024-03,0.04,214.93,2024-03,0,-0.06,2024-03,0,,3.05,2,2023-03,0.16,-4.75,-2.37,"532362,"
Indsil Hydro Power and Manganese Ltd.,522165,Ferro & Silica Manganese,169.25,2,2024-03,94.74,262.91,2024-03,116.61,-8.97,2024-03,0,,1.53,2,2023-03,0.83,-7.55,4.67,"522165,"
Jainam Ferro Alloys (I) Ltd.,JAINAM,Ferro & Silica Manganese,166.87,1,2024-03,9.52,146.36,2024-03,189.69,6.07,2024-03,27.5,,1.91,1,2023-03,0,31.06,43.23,"JAINAM,"
Facor Alloys Ltd.,532656,Ferro & Silica Manganese,148.62,2,2024-03,9.18,153.45,2024-03,153.8,-19.24,2024-03,0,0,0.93,2,2023-03,0.04,3.87,0.47,"532656,"
Chrome Silicon Ltd.,513005,Ferro & Silica Manganese,77.07,1,2024-03,21.67,95.7,2024-03,89.81,0.42,2024-03,185.71,3.67,-4.45,1,2023-03,-3.85,0,3.18,"513005,"
Impex Ferro Tech Ltd.,IMPEXFERRO,Ferro & Silica Manganese,32.53,1,2023-09,267.67,299.44,2023-12,6.37,-0.26,2023-12,0,0,-0.11,1,2023-03,-0.96,0,-191.82,"IMPEXFERRO,"
