Sector: Hospitality,
Date: 05-Jul-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
The Indian Hotels Company Ltd.,INDHOTEL,"Hotel, Resort & Restaurants",87398.74,2,2024-03,260.49,86173.73,2024-03,6768.75,1201.59,2024-03,69.42,1.98,9.24,2,2024-03,0.03,13.78,20.37,"INDHOTEL,"
Indian Railway Catering And Tourism Corporation Ltd.,IRCTC,Travel Services,81620,1,2024-03,,79357.35,2024-03,4270.18,1111.26,2024-03,73.45,2.07,25.43,1,2023-03,0,46.26,63.01,"IRCTC,"
EIH Ltd.,EIHOTEL,"Hotel, Resort & Restaurants",26996.97,2,2024-03,,26356.4,2024-03,2511.27,643.9,2024-03,42.24,2.57,6.85,2,2023-03,0.02,10.6,14.71,"EIHOTEL,"
TBO Tek Ltd.,TBOTEK,Travel Services,20026.3,2,2024-03,135.08,19307.3,2024-03,1392.82,200.57,2024-03,99.07,,9.56,2,2023-03,0.02,52.42,64.84,"TBOTEK,"
Chalet Hotels Ltd.,CHALET,"Hotel, Resort & Restaurants",18597.41,2,2024-03,2950.33,21415.47,2024-03,1417.25,278.18,2024-03,66.86,1.8,6.52,2,2023-03,1.82,12.77,10.41,"CHALET,"
BLS International Services Ltd.,BLS,Travel Services,15522.63,2,2024-03,,14560.5,2024-03,1676.82,325.62,2024-03,49.6,3.09,12.85,2,2023-03,0,29.77,32.43,"BLS,"
Westlife Foodworld Ltd,WESTLIFE,Restaurants,13268.61,2,2024-03,239.03,13493.52,2024-03,2391.81,69.21,2024-03,191.71,3.55,22.56,2,2023-03,0.37,21.76,33.73,"WESTLIFE,"
Thomas Cook (India) Ltd.,THOMASCOOK,Travel Services,12220.49,2,2024-03,220.03,11252.62,2024-03,7299.35,271.12,2024-03,47.18,,5.94,2,2023-03,0.34,0.97,7.29,"THOMASCOOK,"
Lemon Tree Hotels Ltd.,LEMONTREE,"Hotel, Resort & Restaurants",11693.56,2,2024-03,1889.12,13528.93,2024-03,1065.46,181.01,2024-03,78.75,1.52,7.56,2,2023-03,2.04,16.68,14.06,"LEMONTREE,"
Juniper Hotels Ltd.,JUNIPER,"Hotel, Resort & Restaurants",10272.94,2,2024-03,838.11,10685.46,2024-03,817.66,23.8,2024-03,431.71,29.39,3.87,2,2023-03,5.77,-0.42,9.87,"JUNIPER,"
