Sector: Logistics,
Date: 05-Jul-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,Port,324884.9,2,2024-03,46279.23,363532.25,2024-03,26710.56,8265.68,2024-03,40.06,2.52,6.14,2,2024-03,0.87,16.45,13.3,"ADANIPORTS,"
JSW Infrastructure Ltd.,JSWINFRA,Port,73993.56,2,2024-03,4380.68,74284.02,2024-03,3762.89,1160.69,2024-03,64.01,2.84,9.21,2,2023-03,1.13,21.8,17.68,"JSWINFRA,"
Container Corporation Of India Ltd.,CONCOR,Logistics,64819.78,2,2024-03,26.23,61549.92,2024-03,8653.41,1232.04,2024-03,51.42,27.2,5.48,2,2023-03,0,10.68,14.73,"CONCOR,"
Aegis Logistics Ltd.,AEGISLOG,Logistics,31625.1,2,2024-03,1663.23,31513.69,2024-03,7045.92,672.21,2024-03,55.56,2.67,8.12,2,2024-03,0.43,18.1,19.38,"AEGISLOG,"
Delhivery Ltd.,DELHIVERY,Courier  Services,29250.27,2,2024-03,125.6,28972.65,2024-03,8141.54,-257.88,2024-03,0,,3.2,2,2023-03,0.02,-14.18,-12.29,"DELHIVERY,"
Blue Dart Express Ltd.,BLUEDART,Courier  Services,19444.69,2,2024-03,254.69,19533.14,2024-03,5267.83,301.01,2024-03,64.6,2.36,14.25,2,2024-03,0.19,23.67,30.85,"BLUEDART,"
The Great Eastern Shipping Company Ltd.,GESHIP,Shipping,18174.26,2,2024-03,3031.03,16314.5,2024-03,5255.17,2614.18,2024-03,6.95,0.1,1.47,2,2023-03,0.35,28.1,21.8,"GESHIP,"
Shipping Corporation Of India Ltd.,SCI,Shipping,12620.82,2,2024-03,2893.37,14199.87,2024-03,5046.53,611.17,2024-03,18.59,0.8,1.67,2,2023-03,0.37,13.52,10.6,"SCI,"
Gujarat Pipavav Port Ltd.,GPPL,Port,10920.91,2,2024-03,,9876.34,2024-03,988.43,332.52,2024-03,31.93,3.31,4.72,2,2023-03,0,13.75,18.5,"GPPL,"
TVS Supply Chain Solutions Ltd.,TVSSCS,Logistics,8547.45,2,2024-03,793.94,8744.56,2024-03,9253.49,-76.11,2024-03,0,,4.71,2,2023-03,2.98,6.19,9.17,"TVSSCS,"
Transport Corporation Of India Ltd.,TCI,Logistics,7413.81,2,2024-03,150.3,7468.51,2024-03,4024.2,278.6,2024-03,21.13,1,3.7,2,2023-03,0.04,20.59,22.96,"TCI,"
Allcargo Logistics Ltd.,ALLCARGO,Logistics,6318.31,2,2024-03,966.87,6726.39,2024-03,13187.84,147.37,2024-03,42.21,1.55,2.51,2,2023-03,0.25,21.92,23,"ALLCARGO,"
Gateway Distriparks Ltd.,GATEWAY,Logistics,5286.23,2,2024-03,327.84,5591.84,2024-03,1536.13,252.66,2024-03,20.63,0.87,2.74,2,2023-03,0.24,14.17,13.45,"GATEWAY,"
VRL Logistics Ltd.,VRLLOG,Logistics,5065.3,1,2024-03,279.28,5325.63,2024-03,2888.62,89.06,2024-03,56.87,4.58,5.34,1,2023-03,0.18,20.42,26.54,"VRLLOG,"
TCI Express Ltd.,TCIEXP,Logistics,4751.21,2,2024-03,2.96,4733.78,2024-03,1253.82,131.69,2024-03,36.08,,6.75,2,2023-03,0,23.51,31.21,"TCIEXP,"
Shipping Corporation of India Land and Assets Ltd.,SCILAL,Shipping,4140.95,1,2024-03,,4140.95,2024-03,17.22,47.49,2024-03,87.2,,1.27,1,2023-03,0,2.24,1.11,"SCILAL,"
Dredging Corporation Of India Ltd.,DREDGECORP,Shipping,3929.8,1,2024-03,426.36,4305.88,2024-03,945.5,35.68,2024-03,110.13,,3.11,1,2023-03,0.2,0.89,2.51,"DREDGECORP,"
Mahindra Logistics Ltd.,MAHLOG,Logistics,3756.34,2,2024-03,338.55,4023.82,2024-03,5505.97,-52.07,2024-03,0,,7.73,2,2024-03,0.7,-10.01,4.66,"MAHLOG,"
Seamec Ltd.,SEAMECLTD,Shipping,3481.06,2,2024-03,306.86,3651.79,2024-03,745.69,120.6,2024-03,29.08,0.29,3.82,2,2023-03,0.17,4.36,3.87,"SEAMECLTD,"
JITF Infralogistics Ltd.,JITFINFRA,Logistics,2126.08,2,2024-03,3771.52,5560.39,2024-03,3283.56,90.32,2024-03,60.04,3.62,-3.83,2,2024-03,-6.79,0,16.6,"JITFINFRA,"
Navkar Corporation Ltd.,NAVKARCORP,Logistics,1775.37,1,2024-03,213.56,1988.93,2024-03,434.87,5.6,2024-03,317.09,,0.89,1,2023-03,0.02,3.78,3.79,"NAVKARCORP,"
Allcargo Gati Ltd.,ACLGATI,Logistics,1483.39,2,2024-03,144.25,1452.25,2024-03,1697.99,6.12,2024-03,102.09,,1.84,2,2023-03,0.27,-1.91,4.56,"ACLGATI,"
Snowman Logistics Ltd.,SNOWMAN,Logistics,1315.65,1,2024-03,95.95,1402.15,2024-03,503.37,12.71,2024-03,103.54,2.47,3.14,1,2023-03,0.25,3.18,8.18,"SNOWMAN,"
Allcargo Terminals Ltd.,ATL,Logistics,1263.12,2,2024-03,37,1300.12,2024-03,732.98,39.6,2024-03,28.45,,5.31,2,2023-03,0.16,73.71,62.56,"ATL,"
Lancer Container Lines Ltd.,539841,Logistics,1194.94,2,2024-03,111.6,1306.54,2024-03,633.41,58.36,2024-03,20.47,,2.47,2,2023-03,1.47,41.91,29.64,"539841,"
Essar Shipping Ltd.,ESSARSHPNG,Shipping,1146.23,2,2024-03,2641.98,3788.21,2024-03,20.24,-104.33,2024-03,0,0,-0.4,2,2023-03,-0.99,0,0,"ESSARSHPNG,"
Sical Logistics Ltd.,SICALLOG,Logistics,1099.12,2,2024-03,496.97,1476.78,2024-03,221.08,-28.3,2024-03,0,,43.58,2,2023-03,8.79,0,-190.7,"SICALLOG,"
ABS Marine Services Ltd.,ABSMARINE,Shipping,992.56,1,2023-03,48.66,1022.97,,,,2023-03,124.06,,4.54,2,2023-03,0.52,11.53,11.87,"ABSMARINE,"
Tara Chand Infralogistic Solutions Ltd.,TARACHAND,Logistics,782.96,1,2024-03,85.23,868.19,2024-03,172.02,16.14,2024-03,48.53,3.81,7.96,1,2023-03,1.3,15.09,13.17,"TARACHAND,"
Ritco Logistics Ltd.,RITCO,Logistics,776.03,2,2024-03,258.77,1029.37,2024-03,933.3,32.65,2024-03,23.52,,4.28,2,2023-03,1.39,16.37,14.09,"RITCO,"
Shreyas Shipping & Logistics Ltd.,SHREYAS,Shipping,750.95,2,2024-03,405.24,1139.08,2024-03,282.39,-51.02,2024-03,0,0,0.98,2,2023-03,0.61,27.19,19.96,"SHREYAS,"
VL E-Governance & IT Solutions Ltd.,VLEGOV,Courier  Services,739.86,1,2024-03,51.09,790.88,2024-03,22.01,-169.93,2024-03,0,,0.3,1,2023-03,0.02,0.23,0.31,"VLEGOV,"
SJ Logistics (India) Ltd.,SJLOGISTIC,Logistics,680.13,2,2024-03,13.12,693.24,2024-03,270.86,22.61,2024-03,30.08,,6.07,2,2023-03,1.08,32.51,23.24,"SJLOGISTIC,"
AVG Logistics Ltd.,AVG,Logistics,659.6,2,2024-03,88.89,739.71,2024-03,479.49,32.26,2024-03,20.66,10.19,3.3,2,2023-03,1.25,9.19,21.34,"AVG,"
