Sector: Media & Entertainment,
Date: 05-Jul-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Sun TV Network Ltd.,SUNTV,TV Broadcasting & Software Production,30947.47,2,2024-03,,30546.66,2024-03,4282.1,1915.53,2024-03,16.08,1.89,2.94,2,2023-03,0,19.59,26.25,"SUNTV,"
Zee Entertainment Enterprises Ltd.,ZEEL,TV Broadcasting & Software Production,14561.47,2,2024-03,5.5,13373.78,2024-03,8637.18,198.92,2024-03,102.96,,1.34,2,2023-03,0,2.33,4.99,"ZEEL,"
PVR Inox Ltd.,PVRINOX,"Film Production, Distribution & Entertainment",14483.36,2,2024-03,1717.7,15797.26,2024-03,6107.1,-32.7,2024-03,0,,1.98,2,2023-03,0.25,-7.76,6.04,"PVRINOX,"
Saregama India Ltd.,SAREGAMA,"Film Production, Distribution & Entertainment",10559.21,2,2024-03,1.65,10018.77,2024-03,803,197.56,2024-03,53.44,1.18,7.77,2,2023-03,0,14.84,20.32,"SAREGAMA,"
Network 18 Media & Investments Ltd.,NETWORK18,TV Broadcasting & Software Production,8959.79,2,2024-03,7316.71,11443.73,2024-03,9297.45,-507.45,2024-03,0,0,1.35,2,2023-03,8.61,-2.2,4.1,"NETWORK18,"
TV18 Broadcast Ltd.,TV18BRDCST,TV Broadcasting & Software Production,7654.62,2,2024-03,5379.34,8207.72,2024-03,8975.97,-227.06,2024-03,0,0,0.46,2,2023-03,0.88,2.7,3.41,"TV18BRDCST,"
D.B. Corp Ltd.,DBCORP,Printing And Publishing,6548.18,2,2024-03,22.52,6019.46,2024-03,2402.09,425.52,2024-03,15.39,,2.95,2,2023-03,0.02,8.85,12.82,"DBCORP,"
Tips Industries Ltd.,TIPSINDLTD,"Film Production, Distribution & Entertainment",5805.47,1,2024-03,0,5674.28,2024-03,241.58,127.17,2024-03,45.65,0.4,32.22,1,2024-03,0,80.57,108.26,"TIPSINDLTD,"
Prime Focus Ltd.,PFOCUS,"Film Production, Distribution & Entertainment",4393.12,2,2024-03,3930.06,8181.65,2024-03,3950.54,-488.49,2024-03,0,0,8.51,2,2023-03,-14.65,0,20.51,"PFOCUS,"
MPS Ltd.,MPSLTD,Printing And Publishing,3591.2,2,2024-03,,3475.83,2024-03,545.31,118.77,2024-03,30.24,3.27,7.81,2,2023-03,0,27.62,37.45,"MPSLTD,"
Navneet Education Ltd.,NAVNETEDUL,Printing And Publishing,3562.86,2,2024-03,245.11,3783.26,2024-03,1751.27,206.69,2024-03,14.16,7.17,2.75,2,2023-03,0.24,19.42,25.03,"NAVNETEDUL,"
Vertoz Advertising Ltd.,VERTOZ,Advertising & Media,3072.54,2,2024-03,14.22,3075.97,2024-03,172.47,17.87,2024-03,194.74,13.93,15,2,2023-03,0.11,14.87,17.08,"VERTOZ,"
