Sector: Mining,
Date: 05-Jul-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Coal India Ltd.,COALINDIA,Mining & Minerals,301912.06,2,2024-03,6289.02,277965.91,2024-03,142323.98,32062.21,2024-03,8.07,0.25,3.65,2,2023-03,0.07,56.03,71.76,"COALINDIA,"
NMDC Ltd.,NMDC,Mining & Minerals,73851.27,2,2024-03,3356.54,64844.16,2024-03,21307.85,5572.24,2024-03,13.25,3.72,2.88,2,2023-03,0.02,27.26,36.04,"NMDC,"
KIOCL Ltd.,KIOCL,Mining & Minerals,28710.16,1,2024-03,63.76,28316.97,2024-03,1854.35,-83.31,2024-03,0,,14.84,1,2023-03,0.21,-4.71,-4.77,"KIOCL,"
Gujarat Mineral Development Corporation Ltd.,GMDCLTD,Mining & Minerals,12758.16,2,2024-03,,12247.76,2024-03,2463.35,613.96,2024-03,20.67,0.72,2.09,2,2023-03,0,22.85,31.27,"GMDCLTD,"
MOIL Ltd.,MOIL,Mining & Minerals,10980.06,1,2024-03,,10189.95,2024-03,1449.42,293.34,2024-03,37.43,,4.46,1,2023-03,0,11.43,15.25,"MOIL,"
Sandur Manganese & Iron Ores Ltd.,SANDUMA,Mining & Minerals,9023.73,2,2024-03,130.85,9094.96,2024-03,1252.13,238.62,2024-03,37.68,0.62,4.18,2,2023-03,0.11,20.81,27.58,"SANDUMA,"
The Orissa Minerals Development Company Ltd.,ORISSAMINE,Mining & Minerals,4464.9,1,2023-03,173.6,4558.82,2023-12,55.26,-10.55,2023-12,0,0,-189.8,1,2023-03,-13.56,0,-1.12,"ORISSAMINE,"
Ashapura Minechem Ltd.,ASHAPURMIN,Mining & Minerals,3868.49,2,2024-03,981.62,4705.22,2024-03,2725.21,231.09,2024-03,13.48,0.32,4.2,2,2023-03,1.15,18.66,16.08,"ASHAPURMIN,"
Raghav Productivity Enhancers Ltd.,539837,Mining & Minerals,1967.04,2,2024-03,8.74,1970.8,2024-03,132.77,25.97,2024-03,75.74,,12.44,2,2023-03,0.08,20.86,26.22,"539837,"
Deccan Gold Mines Ltd.,512068,Mining & Minerals,1575.61,2,2024-03,99.51,1665.49,2024-03,4.23,-24.58,2024-03,0,0,7.37,2,2023-03,0.02,-2.86,-2.38,"512068,"
20 Microns Ltd.,20MICRONS,Mining & Minerals,798,2,2024-03,115.62,853.32,2024-03,777.49,56.01,2024-03,14.23,0.78,2.26,2,2024-03,0.33,17.37,21.63,"20MICRONS,"
RAW Edge Industrial Solutions Ltd.,541634,Mining & Minerals,38.66,1,2024-03,23.18,61.84,2024-03,44.97,-0.59,2024-03,0,,1.78,1,2023-03,1.03,0.1,5.01,"541634,"
Kachchh Minerals Ltd.,531778,Mining & Minerals,15.63,1,2024-03,0.28,15.92,2024-03,2.61,0.62,2024-03,25.34,2.14,7.82,1,2023-03,0.48,-7,-2.36,"531778,"
Rajdarshan Industries Ltd.,ARENTERP,Mining & Minerals,14.64,2,2024-03,0.5,13.49,2024-03,1.58,0.72,2024-03,20.36,,0.68,2,2023-03,0,1.4,1.5,"ARENTERP,"
