Sector: Miscellaneous,
Date: 05-Jul-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Awfis Space Solutions Ltd.,AWFIS,Miscellaneous,3818.08,2,2024-03,32.17,3845.38,2024-03,848.82,-17.57,2024-03,0,,4.14,2,2023-03,0.07,0,18.17,"AWFIS,"
Vaarad Ventures Ltd.,532320,Miscellaneous,350.36,2,2024-03,3.52,353.85,2024-03,0,-0.27,2024-03,0,,15.56,2,2023-03,0.15,-0.99,-0.86,"532320,"
PE Analytics Ltd.,PROPEQUITY,Miscellaneous,311.32,1,2024-03,,311.32,2024-03,22.01,9.07,2024-03,34.33,,4.85,2,2023-03,0,17.56,23.55,"PROPEQUITY,"
Shree OSFM E-Mobility Ltd.,SHREEOSFM,Miscellaneous,242.19,1,2024-03,10.99,253.17,2024-03,118.19,8.1,2024-03,29.89,,5.38,1,2023-03,0.45,16.35,19.56,"SHREEOSFM,"
Indiabulls Enterprises Ltd.,IEL,Miscellaneous,237.41,2,2024-03,251.27,480.51,2024-03,55.53,-25.4,2024-03,0,,0.97,2,2023-03,0.21,0.83,2.32,"IEL,"
Adtech Systems Ltd.,544185,Miscellaneous,160.9,1,2023-03,11.57,165.62,,,,2023-03,44.77,,3.55,1,2023-03,0.25,8.14,10.79,"544185,"
Qualitek Labs Ltd.,544091,Miscellaneous,157.02,1,2024-03,12.25,167.5,2024-03,29.18,4.31,2024-03,36.46,,4.79,1,2023-03,2.38,50.49,17.79,"544091,"
Graphisads Ltd.,GRAPHISAD,Miscellaneous,84.89,1,2024-03,8.2,93.1,2024-03,78.22,2.78,2024-03,30.52,,4.65,2,2023-03,0.69,13.58,14.65,"GRAPHISAD,"
Kontor Space Ltd.,KONTOR,Miscellaneous,65.66,1,2024-03,4.65,70.31,2024-03,11.03,1.95,2024-03,33.69,,3.16,1,2023-03,1.19,69.59,48.43,"KONTOR,"
Modipon Ltd.,503776,Miscellaneous,61.1,1,2024-03,44.81,105.86,2024-03,0,-0.59,2024-03,0,0,-0.67,1,2023-03,-0.49,0,0,"503776,"
Associated Coaters Ltd.,544183,Miscellaneous,28.39,1,2023-03,0.1,27.82,,,,2023-03,52.29,,4.23,1,2023-03,0.14,125.71,138.94,"544183,"
Square Four Projects India Ltd.,526532,Miscellaneous,17.15,2,2024-03,4.07,21.21,2024-03,0,-0.16,2024-03,0,,0.87,2,2023-03,0.19,-0.51,-0.4,"526532,"
Triliance Polymers Ltd.,509046,Miscellaneous,6.86,1,2024-03,0.14,7,2024-03,0,-0.18,2023-12,0,,1.47,1,2023-03,0.01,-8.11,-8.02,"509046,"
Multipurpose Trading & Agencies Ltd.,504356,Miscellaneous,4.54,1,2023-09,0.13,4.67,2024-03,0.35,0.19,2024-03,23.54,2.36,0.92,1,2023-03,0.02,4.2,4.27,"504356,"
Manor Estates & Industries Ltd.,526115,Miscellaneous,2.89,1,2024-03,0.71,3.6,2024-03,0,-0.56,2024-03,0,,-1.02,1,2023-03,-0.31,0,0,"526115,"
3rd Rock Multimedia Ltd.,3RDROCK,Miscellaneous,0,1,2024-03,1.5,0,2024-03,4.85,-0.03,-0,,,,1,2014-03,0,7.6,11.7,"3RDROCK,"
