Sector: Non - Ferrous Metals,
Date: 05-Jul-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Hindustan Zinc Ltd.,HINDZINC,Metal - Non Ferrous,293237.14,2,2024-03,8855,301917.14,2024-03,28932,7759,2024-03,37.79,,19.3,2,2024-03,0.58,55.17,45.85,"HINDZINC,"
Vedanta Ltd.,VEDL,Metal - Non Ferrous,176976.19,2,2024-03,86693,259342.19,2024-03,143728,7534,2024-03,41.75,,5.8,2,2024-03,2.84,21.61,25.2,"VEDL,"
Hindalco Industries Ltd.,HINDALCO,Metal - Non Ferrous,157439.99,2,2024-03,54501,197503.99,2024-03,215962,10153,2024-03,15.5,0.84,1.48,2,2023-03,0.67,11.65,11.16,"HINDALCO,"
National Aluminium Company Ltd.,NATIONALUM,Aluminium & Aluminium Products,36475.51,2,2024-03,39.16,33939.52,2024-03,13147.73,2059.95,2024-03,18.34,0.81,2.54,2,2023-03,0,11.17,14.47,"NATIONALUM,"
Hindustan Copper Ltd.,HINDCOPPER,Metal - Non Ferrous,31916.63,2,2024-03,222.46,32064.73,2024-03,1717,295.73,2024-03,108.08,,13.97,2,2023-03,0.08,14.79,18.12,"HINDCOPPER,"
Gravita India Ltd.,GRAVITA,Metal - Non Ferrous,9852.06,2,2024-03,545.13,10298.41,2024-03,3160.75,242.28,2024-03,41.19,1.16,11.77,2,2023-03,0.58,41.83,31.76,"GRAVITA,"
Shivalik Bimetal Controls Ltd.,SBCL,Metal - Non Ferrous,3417.66,2,2024-03,42.27,3421.03,2024-03,508.93,80.94,2024-03,40.56,1.1,10.01,2,2023-03,0.22,34.61,38.18,"SBCL,"
Ram Ratna Wires Ltd.,RAMRAT,Metal - Non Ferrous,1905.2,2,2024-03,227.6,2103.66,2024-03,2983.25,54.29,2024-03,36.45,3.45,4.64,2,2023-03,0.85,16.12,17.51,"RAMRAT,"
Bharat Wire Ropes Ltd.,BHARATWIRE,Metal - Non Ferrous,1839.99,2,2024-03,132.23,1963.9,2024-03,621.84,96.34,2024-03,19.13,,2.78,2,2023-03,0.32,12.31,16.25,"BHARATWIRE,"
Pondy Oxides & Chemicals Ltd.,POCL,Metal - Non Ferrous,1201.32,2,2024-03,100.59,1271.93,2024-03,1540.6,31.87,2024-03,37.69,1.23,3.36,2,2023-03,0.56,49.69,38.24,"POCL,"
