Sector: Other,
Date: 05-Jul-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Hindustan Aeronautics Ltd.,HAL,Defence,371838.9,2,2024-03,,345407.29,2024-03,30381.08,7370.69,2024-03,48.79,2.04,12.76,2,2023-03,0,27.18,30.59,"HAL,"
Bharat Dynamics Ltd.,BDL,Defence,63781.88,1,2024-03,,59553.39,2024-03,2369.28,612.72,2024-03,104.1,,17.36,1,2023-03,0,11.35,15.69,"BDL,"
Data Patterns (India) Ltd.,DATAPATTNS,Defence,19289,1,2024-03,,18896.31,2024-03,519.8,181.69,2024-03,106.16,0.7,14.18,1,2023-03,0,14.24,19.73,"DATAPATTNS,"
RattanIndia Enterprises Ltd.,RTNINDIA,Professional Services,11409.25,2,2024-03,1156.22,12400.94,2024-03,5609.64,424.45,2024-03,26.77,2.83,13.59,2,2023-03,2.29,-51.62,-20.7,"RTNINDIA,"
Latent View Analytics Ltd.,LATENTVIEW,Business Support,10362.72,2,2024-03,0.24,9947.16,2024-03,640.68,158.64,2024-03,65.32,3.54,7.54,2,2023-03,0,13.97,17.19,"LATENTVIEW,"
Astra Microwave Products Ltd.,ASTRAMICRO,Defence,9042.09,2,2024-03,237.64,9148.82,2024-03,908.82,109.04,2024-03,74.69,29.35,9.36,2,2023-03,0.29,11.37,17.1,"ASTRAMICRO,"
VA Tech Wabag Ltd.,WABAG,Environmental Services,8212.25,2,2024-03,280.6,7983.15,2024-03,2856.4,259.9,2024-03,33.44,1.85,4.52,2,2023-03,0.14,0.7,4.4,"WABAG,"
SIS Ltd.,SIS,Professional Services,6570.88,2,2024-03,1508.6,7338.96,2024-03,12261.42,165.15,2024-03,34.58,,2.77,2,2024-03,0.64,8.13,10.8,"SIS,"
Paras Defence And Space Technologies Ltd.,PARAS,Defence,6098.63,2,2024-03,64.61,6151.83,2024-03,253.5,30.09,2024-03,190.23,25.26,15.14,2,2023-03,0.04,10.16,14.49,"PARAS,"
TeamLease Services Ltd.,TEAMLEASE,Professional Services,5007.95,2,2024-03,30.52,4617.06,2024-03,9321.53,112.66,2024-03,44.65,4.89,6.28,2,2023-03,0.02,14.94,15.6,"TEAMLEASE,"
