Sector: Plastic Products,
Date: 05-Jul-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Supreme Industries Ltd.,SUPREMEIND,Plastic Products,76736.93,2,2024-03,0,75549.64,2024-03,10134.26,962.86,2024-03,71.74,3.13,15.02,2,2024-03,0,22.49,29.89,"SUPREMEIND,"
Astral Ltd.,ASTRAL,Plastic Products,64600.77,2,2024-03,96.4,64087.57,2024-03,5641.4,545.7,2024-03,118.29,5.57,20.27,2,2023-03,0.03,18.23,25.16,"ASTRAL,"
Finolex Industries Ltd.,FINPIPE,Plastic Products,20295.8,2,2024-03,381.95,20646.1,2024-03,4317.43,435.37,2024-03,42.86,,3.6,2,2023-03,0.11,5.68,7.23,"FINPIPE,"
Responsive Industries Ltd.,RESPONIND,Plastic Products,8230.21,2,2024-03,205.53,8414.39,2024-03,1086.97,161.27,2024-03,51.04,5.87,7.24,2,2023-03,0.26,2.48,4.62,"RESPONIND,"
Prince Pipes and Fittings Ltd.,PRINCEPIPE,Plastic Products,7717.16,1,2024-03,114.44,7753.89,2024-03,2568.75,182.53,2024-03,42.29,3.92,4.99,1,2023-03,0.04,9.24,12.4,"PRINCEPIPE,"
Time Technoplast Ltd.,TIMETECHNO,Plastic Products,7481.85,2,2024-03,744.61,8072.99,2024-03,4992.5,315.88,2024-03,24.1,6.08,2.93,2,2023-03,0.36,10.34,13.73,"TIMETECHNO,"
EPL Ltd.,EPL,Plastic Products,7322.71,2,2024-03,804,7919.41,2024-03,3916.1,206.6,2024-03,34.35,6.57,3.5,2,2023-03,0.39,12.28,12.8,"EPL,"
Jai Corp Ltd.,JAICORPLTD,Plastic Products,7208.46,2,2024-03,,7199.49,2024-03,463.06,54.6,2024-03,137.23,1.62,4.85,2,2023-03,0,-0.94,0.36,"JAICORPLTD,"
Garware Hi-Tech Films Ltd.,GRWRHITECH,Plastic Products,5993.84,2,2024-03,,5881.17,2024-03,1677.02,203.29,2024-03,29.48,0.77,2.93,2,2023-03,0.08,9.32,12.07,"GRWRHITECH,"
Jain Irrigation Systems Ltd.,JISLJALEQS,Plastic Products,4826.46,2,2024-03,3932.83,8651.43,2024-03,6147.3,90.44,2024-03,106.69,3.45,0.89,2,2023-03,0.76,-2.76,3.93,"JISLJALEQS,"
Ddev Plastiks Industries Ltd.,543547,Plastic Products,4242.54,1,2024-03,66.05,4308.6,2024-03,2431.24,181.67,2024-03,23.35,,6.41,1,2023-03,0.11,23.75,32.42,"543547,"
Shaily Engineering Plastics Ltd.,SHAILY,Plastic Products,4205.13,2,2024-03,208.35,4387.12,2024-03,643.87,57.29,2024-03,73.4,,9.16,2,2023-03,0.46,9.15,11.4,"SHAILY,"
Uflex Ltd.,UFLEX,Plastic Products,4119.67,2,2024-03,6719.64,9766.06,2024-03,13363.63,-682.24,2024-03,0,0,0.57,2,2023-03,0.73,6.78,9.32,"UFLEX,"
Jindal Poly Films Ltd.,JINDALPOLY,Plastic Products,3610.41,2,2024-03,4430.14,7924.9,2024-03,3925.57,72.11,2024-03,50.5,1.39,0.85,2,2023-03,0.97,7.93,9.12,"JINDALPOLY,"
Polyplex Corporation Ltd.,POLYPLEX,Plastic Products,3420.52,2,2024-03,728.14,3442.45,2024-03,6306.87,86.38,2024-03,90.42,5.34,0.97,2,2023-03,0.23,18.11,17.5,"POLYPLEX,"
Kingfa Science & Technology (India) Ltd.,KINGFA,Plastic Products,3109.06,1,2024-03,29.64,3133.59,2024-03,1487.72,122.52,2024-03,25.38,0.94,5.19,1,2023-03,0.08,19.14,24.98,"KINGFA,"
Huhtamaki India Ltd.,HUHTAMAKI,Plastic Products,2939.69,1,2023-12,200,2827.65,2024-03,2498.03,400.18,2024-03,7.35,2.6,2.51,1,2023-12,0.17,43.2,43,"HUHTAMAKI,"
Nilkamal Ltd.,NILKAMAL,Plastic Products,2918.92,2,2024-03,247.44,3081.82,2024-03,3196.33,113.14,2024-03,23.88,28.97,2.07,2,2024-03,0.18,8.99,12.71,"NILKAMAL,"
Tarsons Products Ltd.,TARSONS,Plastic Products,2660.85,2,2024-03,256.78,2895.02,2024-03,296.39,42.64,2024-03,62.4,,4.34,1,2023-03,0.19,15.24,19,"TARSONS,"
Mold-Tek Packaging Ltd.,MOLDTKPAC,Plastic Products,2654.82,1,2024-03,126.26,2779.47,2024-03,698.65,66.58,2024-03,39.87,1.95,4.44,1,2023-03,0.08,16.14,19.27,"MOLDTKPAC,"
Apollo Pipes Ltd.,APOLLOPIPE,Plastic Products,2612.7,2,2024-03,63.21,2619.9,2024-03,986.95,42.82,2024-03,61.01,37.57,3.82,1,2023-03,0.1,5.57,8.93,"APOLLOPIPE,"
Cosmo First Ltd.,COSMOFIRST,Plastic Products,2342.92,2,2024-03,977.82,3285.42,2024-03,2587.34,62.19,2024-03,37.67,1.23,1.74,2,2023-03,0.69,19.76,17.16,"COSMOFIRST,"
Xpro India Ltd.,XPROINDIA,Plastic Products,2172.62,2,2024-03,36.73,1888.27,2024-03,465.41,43.88,2024-03,49.51,0.5,4.25,2,2024-03,0.07,12.29,15.04,"XPROINDIA,"
Prakash Pipes Ltd.,PPL,Plastic Products,1207.76,1,2024-03,40.18,1031.5,2024-03,669.35,89.64,2024-03,13.47,,3.28,1,2023-03,0.03,27.74,35.07,"PPL,"
Ester Industries Ltd.,ESTER,Plastic Products,1153.76,2,2024-03,772.52,1809.4,2024-03,1063.45,-121.04,2024-03,0,0,1.61,2,2023-03,1.1,1.71,4.28,"ESTER,"
Cropster Agro Ltd.,523105,Plastic Products,1041.25,1,2024-03,0.01,1041.26,2024-03,60.71,10.55,2024-03,93.96,,17.65,1,2023-03,-0.98,0,0,"523105,"
