Sector: Power,
Date: 05-Jul-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
NTPC Ltd.,NTPC,Power Generation/Distribution,364352.23,2,2024-03,235040.3,592545.19,2024-03,178500.88,18696.65,2024-03,18.39,1.86,2.27,2,2023-03,1.5,12.13,9.77,"NTPC,"
Power Grid Corporation Of India Ltd.,POWERGRID,Power Generation/Distribution,314081.39,2,2024-03,123448.62,430034.89,2024-03,45843.1,16164.1,2024-03,19.45,0.77,3.6,2,2023-03,1.52,19.36,13,"POWERGRID,"
Adani Green Energy Ltd.,ADANIGREEN,Power Generation/Distribution,278956.04,2,2024-03,64484,334676.04,2024-03,9234,971,2024-03,253.6,6.84,45.94,2,2024-03,10.62,21.08,10.04,"ADANIGREEN,"
Adani Power Ltd.,ADANIPOWER,Power Generation/Distribution,274170.5,2,2024-03,34456.86,301415.6,2024-03,50351.25,20828.79,2024-03,13.16,0.15,6.35,2,2024-03,0.8,57.05,32.3,"ADANIPOWER,"
Tata Power Company Ltd.,TATAPOWER,Power Generation/Distribution,140163.57,2,2024-03,49479.81,180491.47,2024-03,61448.9,3102.52,2024-03,37.92,0.83,4.33,2,2024-03,1.53,14,12.99,"TATAPOWER,"
JSW Energy Ltd.,JSWENERGY,Power Generation/Distribution,128408.55,2,2024-03,31326.61,155528.56,2024-03,11485.91,1708.14,2024-03,74.54,3.75,4.99,2,2024-03,1.51,8.78,8.83,"JSWENERGY,"
Adani Energy Solutions Ltd.,ADANIENSOL,Power Generation/Distribution,113679.86,2,2024-03,37008.87,148460.59,2024-03,16607.36,1199.43,2024-03,99.96,6.55,8.99,2,2024-03,2.93,9.8,9.51,"ADANIENSOL,"
NHPC Ltd.,NHPC,Power Generation/Distribution,103915.89,2,2024-03,32492.67,132786.18,2024-03,9632.16,3628.11,2024-03,32.18,3.06,2.68,2,2023-03,0.8,11.79,9,"NHPC,"
Torrent Power Ltd.,TORNTPOWER,Power Generation/Distribution,72287.17,2,2024-03,11585.03,83453.46,2024-03,27183.21,1896,2024-03,39.43,2.24,5.99,2,2023-03,0.95,20.66,19.04,"TORNTPOWER,"
SJVN Ltd.,SJVN,Power Generation/Distribution,55135.03,2,2024-03,20251.65,71636.87,2024-03,2579.37,916.96,2024-03,59.85,22.15,3.92,2,2023-03,1.01,10.06,9.08,"SJVN,"
