Sector: Telecom,
Date: 05-Jul-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Bharti Airtel Ltd.,BHARTIARTL,Telecommunication - Service  Provider,865653.07,2,2024-03,151916.5,1001229.67,2024-03,149982.4,5848.6,2024-03,115.93,3.16,10.3,2,2023-03,2.14,17.08,16.21,"BHARTIARTL,"
Vodafone Idea Ltd.,IDEA,Telecommunication - Service  Provider,117294.71,2,2024-03,207629.8,324388.31,2024-03,42651.7,-31232.9,2024-03,0,,-1.4,2,2023-03,-2.71,0,-4.63,"IDEA,"
Indus Towers Ltd.,INDUSTOWER,Telecommunication - Service  Provider,107339.34,2,2024-03,4311.8,111651.14,2024-03,28600.6,6036.2,2024-03,17.78,171.37,3.97,2,2023-03,0.22,9.44,16.57,"INDUSTOWER,"
Bharti Hexacom Ltd.,BHARTIHEXA,Telecommunication - Service  Provider,54317.5,1,2024-03,4834.6,59077.8,2024-03,7088.8,504.4,2024-03,107.69,2.21,6.12,1,2023-03,1.49,13.96,12.87,"BHARTIHEXA,"
Tata Communications Ltd.,TATACOMM,Telecommunication - Service  Provider,53866.43,2,2024-03,10117.76,63141.74,2024-03,20968.82,949.59,2024-03,55.63,0.75,30.23,2,2024-03,5.68,57.55,17.25,"TATACOMM,"
ITI Ltd.,ITI,Telecommunication - Equipment,29989.28,2,2024-03,1795.46,30952.32,2024-03,1263.63,-569.03,2024-03,0,,16.81,2,2023-03,0.83,-14.98,-3.55,"ITI,"
Tejas Networks Ltd.,TEJASNET,Telecommunication - Equipment,24814.93,2,2024-03,1744.09,26257.12,2024-03,2470.68,62.98,2024-03,394.01,,8.24,2,2024-03,0.58,2.13,3.77,"TEJASNET,"
HFCL Ltd.,HFCL,Telecom-Infrastructure,18574.41,2,2024-03,977.26,19215.32,2024-03,4465.05,336.59,2024-03,56.32,4.21,4.63,2,2023-03,0.3,10.82,15.38,"HFCL,"
Railtel Corporation Of India Ltd.,RAILTEL,Telecommunication - Service  Provider,15982.73,1,2024-03,,15497.58,2024-03,2563.67,245.28,2024-03,64.92,15.49,9.34,2,2023-03,0,11.91,16.81,"RAILTEL,"
Tata Teleservices (Maharashtra) Ltd.,TTML,Telecommunication - Service  Provider,14937.6,1,2024-03,19954.42,34859.53,2024-03,1191.65,-1228.44,2024-03,0,,-0.78,1,2024-03,-1.04,0,53.41,"TTML,"
Black Box Ltd.,BBOX,Telecommunication - Equipment,6691.07,2,2024-03,397.3,6865.72,2024-03,6281.58,136,2024-03,48.6,0.34,13.91,2,2023-03,1.19,8.75,23.8,"BBOX,"
