Sector: Textile,
Date: 05-Jul-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Page Industries Ltd.,PAGEIND,Textile,43884.92,1,2024-03,,43563.87,2024-03,4589.29,569.19,2024-03,77.1,7.35,27.46,1,2023-03,0.18,46.45,59.14,"PAGEIND,"
K.P.R. Mill Ltd.,KPRMILL,Textile,30847,2,2024-03,1158.42,31826.42,2024-03,6059.68,805.35,2024-03,38.3,2,7.08,2,2024-03,0.27,19.97,21.09,"KPRMILL,"
Vedant Fashions Ltd.,MANYAVAR,Textile,26585.19,2,2024-03,,26563.48,2024-03,1367.53,414.17,2024-03,64.19,2.7,16.6,2,2023-03,0,34.74,48.92,"MANYAVAR,"
Raymond Ltd.,RAYMOND,Textile - Weaving,22573.82,2,2024-03,3359.55,25407.79,2024-03,9019.52,649.84,2024-03,13.78,0.24,4.91,2,2024-03,0.73,43.84,34.55,"RAYMOND,"
Swan Energy Ltd.,SWANENERGY,Textile,20622.33,2,2024-03,3439.88,22742.62,2024-03,5017.15,585.97,2024-03,68.47,,3.29,2,2023-03,2.2,-3.49,2.55,"SWANENERGY,"
Trident Ltd.,TRIDENT,Textile - Spinning,19481.84,2,2024-03,2060.81,21011.45,2024-03,6808.83,349.97,2024-03,55.74,5.25,4.51,2,2023-03,0.33,10.99,12,"TRIDENT,"
Lakshmi Machine Works Ltd.,LAXMIMACH,Textile - Machinery,17790.08,2,2024-03,0,16835.33,2024-03,4695.86,373.66,2024-03,47.61,4.36,6.58,2,2024-03,0,14.82,19.12,"LAXMIMACH,"
Vardhman Textiles Ltd.,VTL,Textile,14912.74,2,2024-03,1791.17,16616.12,2024-03,9504.68,594.05,2024-03,23.61,3.65,1.64,2,2023-03,0.2,9.9,11.66,"VTL,"
Welspun Living Ltd.,WELSPUNLIV,Textile,14577.13,2,2024-03,2520.51,16842.83,2024-03,9679.24,672.63,2024-03,21.4,,3.23,2,2023-03,0.58,5.03,6.35,"WELSPUNLIV,"
Alok Industries Ltd.,ALOKINDS,Textile,14086.39,2,2024-03,26007.62,39877.24,2024-03,5491.61,-845.86,2024-03,0,0,-0.71,2,2023-03,-1.28,0,-6.48,"ALOKINDS,"
Arvind Ltd.,ARVIND,Textile,10204.9,2,2024-03,1325.38,11454.47,2024-03,7737.75,352.71,2024-03,30.32,37.6,2.88,2,2023-03,0.42,13.26,14.36,"ARVIND,"
Indo Count Industries Ltd.,ICIL,Textile,8135.08,2,2024-03,914.09,8946,2024-03,3557.07,337.92,2024-03,24.07,1.41,3.89,2,2023-03,0.47,16.36,15.24,"ICIL,"
Garware Technical Fibres Ltd.,GARFIBRES,Textile,8002.32,2,2024-03,118.8,7947.38,2024-03,1325.61,208.18,2024-03,38.44,3.71,6.49,2,2023-03,0.13,17.33,21.38,"GARFIBRES,"
PDS Ltd.,PDSL,Textile,7105,2,2024-03,942.9,7363.82,2024-03,10372.65,196.5,2024-03,49.26,0.47,6.09,2,2023-03,0.59,34.95,28.31,"PDSL,"
Jindal Worldwide Ltd.,JINDWORLD,Textile,6947.03,2,2024-03,883.08,7525.56,2024-03,1814.09,75.66,2024-03,91.83,6.3,9.66,2,2023-03,1.29,19.52,16.07,"JINDWORLD,"
Gokaldas Exports Ltd.,GOKEX,Textile,6783.31,2,2024-03,619.56,7275.53,2024-03,2378.88,130.97,2024-03,51.79,1.05,3.59,2,2023-03,0.04,22.21,27.2,"GOKEX,"
SG Mart Ltd.,512329,Textile,4796.22,2,2024-03,181.89,3851.86,2024-03,2682.9,60.94,2024-03,78.7,51.52,4.41,1,2023-03,0,1.63,2.21,"512329,"
Lux Industries Ltd.,LUXIND,Textile,4588.34,2,2024-03,188.75,4724.42,2024-03,2314.27,125.6,2024-03,35.43,2.77,2.93,2,2023-03,0.17,9.96,12.81,"LUXIND,"
Bombay Dyeing And Manufacturing Company Ltd.,BOMDYEING,Textile,4348.59,2,2024-03,2.75,3872.13,2024-03,1688.48,2948.42,2024-03,1.47,,2.32,2,2023-03,-2.92,0,1.13,"BOMDYEING,"
Kewal Kiran Clothing Ltd.,KKCL,Textile,4339.03,2,2024-03,2.48,4122.36,2024-03,860.5,154.51,2024-03,28.16,2.76,6.42,2,2023-03,0.09,23.22,28.33,"KKCL,"
Ganesha Ecosphere Ltd.,GANECOS,Textile - Manmade  Fibres,3581.15,2,2024-03,398.79,3826.75,2024-03,1122.93,40.57,2024-03,88.27,,3.4,2,2023-03,0.79,11.47,10.79,"GANECOS,"
TCNS Clothing Co. Ltd.,TCNSBRANDS,Textile,3535.37,1,2024-03,128.88,3662.31,2024-03,959.56,-288.54,2024-03,0,,11.58,1,2023-03,0.07,-3.22,3.27,"TCNSBRANDS,"
